Brazil, 31148, 313.74
Mongolia, 747, 1049.49
Uruguay, 29986, 1170.69
Chile, 20479, 1986.08
Moldova, 39779, 1971.61
Barbados, 17871, 1634.08
Algeria, 13828, 993.73
Kosovo, 18883, 1626.67
Denmark, 23249, 1380.05
Denmark, 25328, 1700.69
Azerbaijan, 26460, 446.63
Brazil, 47521, 1190.9
Angola, 25963, 1241.42
Myanmar, 42150, 640.82
Vanuatu, 9974, 1394.08
Slovakia, 35766, 158.65
Angola, 24654, 930.78
Kosovo, 23282, 1631.6
Nepal, 1615, 584.17
China, 26413, 587.12
Taiwan, 21337, 330.34
Mongolia, 1055, 554.94
Madagascar, 22330, 1149.62
Vanuatu, 4562, 206.82
Serbia, 21392, 1864.09
Oman, 25701, 1912.08
Austria, 22957, 1774.88
Germany, 18489, 645.75
Georgia, 12984, 1306.26
Azerbaijan, 40065, 1457.41
Angola, 30447, 1505.45
Dominica, 38970, 1686.01
Gambia, 28293, 1802.93
India, 21654, 369.96
Djibouti, 15283, 709.21
Georgia, 45958, 553.06
Nepal, 39587, 104.71
Germany, 8624, 1812.29
Liberia, 34891, 1022.92
Oman, 35014, 856.09
Taiwan, 45974, 1076.77
Comoros, 42037, 1729.54
Canada, 36308, 633.34
France, 2969, 821.02
Nepal, 18782, 596.6
Bhutan, 28034, 931.64
Iceland, 16826, 837.66
Angola, 1511, 1206.88
Georgia, 17789, 1490.08
San Marino, 31431, 1979.54
Congo, 47646, 628.79
Indonesia, 48477, 1218.83
Gambia, 44150, 473.37
Guinea-Bissau, 46617, 1344.23
China, 28422, 1113.91
Afghanistan, 34526, 1009.74
Serbia, 34108, 1120.12
Iraq, 47771, 486.72
Kosovo, 10237, 548.36
Dominica, 48227, 1333.55
Iceland, 18479, 907.7
Iraq, 46530, 234.64
Iceland, 4273, 825.14
Marshall Islands, 4937, 1979.39
Germany, 44224, 834.58
Brazil, 36040, 36.32
Spain, 7242, 397.63
Nepal, 9581, 1039.24
Georgia, 16593, 860.4
Colombia, 40396, 869.91
Iraq, 22660, 1864.1
Chile, 39274, 651.5
Aruba, 23676, 252.37
Slovenia, 6933, 203.91
Cuba, 16402, 710.23
Ukraine, 26003, 475.67
India, 39798, 1371.91
South Africa, 43045, 1403.28
South Africa, 42299, 199.0
Armenia, 28975, 182.01
Slovenia, 35020, 926.16
Albania, 21374, 332.08
Canada, 47638, 540.24
Barbados, 42141, 1300.23
Iceland, 251, 1307.99
Iceland, 23098, 1047.52
Comoros, 48126, 630.43
Spain, 10746, 1116.81
